               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  60,            0.020165,           0.0063419,          0.00049318,             0.96293,              0.9054,             0.93946,             0.78438,            0.013221,            0.005595,          0.00030227,           0.0020795,           0.0020795,           0.0020795
                  61,            0.019932,           0.0063094,          0.00048928,              0.9644,             0.90131,             0.94077,              0.7893,            0.013111,           0.0055692,          0.00029717,             0.00203,             0.00203,             0.00203
                  62,            0.019944,           0.0062911,          0.00049032,             0.95854,             0.90431,                0.94,             0.78692,            0.012873,           0.0054571,          0.00029159,           0.0019805,           0.0019805,           0.0019805
                  63,            0.019868,           0.0062195,          0.00048506,             0.96452,             0.89831,             0.93722,             0.78141,            0.013225,           0.0054822,          0.00028805,            0.001931,            0.001931,            0.001931
                  64,            0.019676,           0.0062164,          0.00047993,             0.96581,             0.91055,             0.94701,             0.79179,            0.013044,           0.0054398,           0.0002872,           0.0018815,           0.0018815,           0.0018815
                  65,            0.019743,            0.006175,          0.00047418,             0.96272,             0.90877,             0.94325,             0.78968,            0.012923,           0.0054463,           0.0002741,            0.001832,            0.001832,            0.001832
                  66,            0.019551,            0.006292,           0.0004705,             0.96744,             0.90467,             0.94298,             0.79198,            0.012907,           0.0053785,          0.00027423,           0.0017825,           0.0017825,           0.0017825
                  67,            0.019508,           0.0062039,          0.00046278,             0.96497,             0.90995,             0.94289,             0.79194,            0.012776,           0.0053031,           0.0002685,            0.001733,            0.001733,            0.001733
                  68,            0.019448,           0.0060708,          0.00046244,             0.96627,             0.90616,             0.94195,                0.79,            0.012802,           0.0053388,          0.00026432,           0.0016835,           0.0016835,           0.0016835
                  69,            0.019261,           0.0061117,          0.00044877,             0.96711,             0.91148,             0.94778,              0.7971,            0.012705,           0.0052925,           0.0002604,            0.001634,            0.001634,            0.001634
                  70,            0.018993,           0.0060814,          0.00044311,             0.96709,              0.9122,             0.94817,             0.80235,            0.012627,           0.0052413,          0.00025677,           0.0015845,           0.0015845,           0.0015845
